FIPS2,Percent_High_school_completion,Percent_Children_in_poverty,Percent_Kids_in_Single_Parent_Houses,Reading _scores,Math_scores
F01001,88.71,14.9,27.6,3.13,2.92
F01003,90.47,12.4,18.36,3.19,3.04
F01005,74.73,37.5,54.04,2.39,2.01
F01007,80.88,21.9,36.7,2.69,2.56
F01009,82.83,18.9,22.56,2.9,2.78
F01011,74.94,38.7,58.85,2.11,1.97
F01013,86.35,30.8,41.1,2.53,2.12
F01015,85.07,16.7,30.98,2.95,2.79
F01017,82.58,26.2,31.79,2.63,2.5
F01019,82.82,23.3,20.44,2.78,2.65
F01021,81.81,21,25.8,2.82,2.72
F01023,82.69,28.9,43.92,2.55,2.13
F01025,82.61,28.7,36.16,3.01,2.78
F01027,81.26,23.8,25.19,2.78,2.53
F01029,82.19,19.5,17.51,3.12,3.08
F01031,85.65,20.6,30.09,3.02,2.87
F01033,85.69,20.9,32.16,3.02,2.9
F01035,84.95,35.1,50.92,2.27,2.33
F01037,83.17,28.8,33.13,2.48,2.31
F01039,85.34,22.6,27.07,2.93,2.67
F01041,78.82,25.6,34.82,2.8,2.55
F01043,82.26,17.4,18.79,3.12,3
F01045,85.31,26.1,30.12,2.9,2.75
F01047,83.95,42.3,63.99,2.48,2.23
F01049,78.03,20.2,20.49,2.65,2.72
F01051,87.26,16.6,23,3.04,2.95
F01053,80.35,26.1,42.19,2.88,2.71
F01055,85.33,22.9,34.13,3.01,2.78
F01057,84.19,23.7,28.98,2.89,2.73
F01059,78.68,22.9,32.64,2.57,2.53
F01061,81.81,32,27.14,3.05,2.87
F01063,80.93,43.5,69.99,2.47,2.57
F01065,80.66,30,51.17,2.78,2.59
F01067,80.47,23.5,23.64,2.82,2.73
F01069,86.87,23.4,32.79,2.97,2.77
F01071,83.46,23.4,25.2,3.06,2.73
F01073,90.51,20.1,36.34,2.79,2.6
F01075,82.96,21.3,27.79,3.09,3.05
F01077,88.62,19.9,25.86,3.13,3.02
F01079,80.78,21.9,23.72,2.86,2.74
F01081,90.37,16.8,26.89,3.1,3
F01083,85.27,14.3,18.38,2.88,2.76
F01085,82.2,38.1,52.05,2.23,2.17
F01087,83.57,39.3,52.88,2.29,1.97
F01089,91.67,13.5,26.79,3.16,2.98
F01091,85.44,30.2,49.94,2.75,2.58
F01093,81.1,23.6,21.92,3.06,2.84
F01095,83.32,24.6,26.79,2.75,2.76
F01097,87.3,27.3,35.88,2.78,2.65
F01099,83.47,29.9,44.27,2.51,2.55
F01101,87.33,28.4,44,2.53,2.32
F01103,84.05,20.1,24.07,2.88,2.75
F01105,78.35,44.2,66.72,2.32,2.04
F01107,82.85,31.2,44.44,2.86,2.63
F01109,87.35,28.3,42.1,2.77,2.89
F01111,81.92,27.3,27.81,2.76,2.62
F01113,85.28,31.7,43,2.72,2.53
F01115,85.76,14.6,18.32,3.05,2.89
F01117,93.21,8.2,16.4,3.2,2.95
F01119,85.27,42,55.63,2.16,1.81
F01121,81.81,23.9,36.2,2.73,2.6
F01123,81.22,26.3,41.57,2.54,2.33
F01125,89.52,17.4,34.41,2.86,2.63
F01127,81.66,23,29.22,2.94,2.72
F01129,85.85,22.9,26.76,2.91,2.7
F01131,79.28,29.4,63.61,1.98,1.93
F01133,78.44,22.8,28.61,2.76,2.69
F02013,86.62,13.2,27.6,,
F02016,91.8,6,13.87,,
F02020,93.99,9,19.72,,
F02050,83.46,36.8,24.32,,
F02060,93.76,11.8,16.08,,
F02068,97.75,7.2,11.15,,
F02070,86.53,26.5,34.53,,
F02090,94.45,7.9,18.53,,
F02100,97.96,18.4,5.12,,
F02105,93.98,23.2,22.38,,
F02110,96.24,11.9,16.22,,
F02122,92.99,14.7,18.95,,
F02130,93.88,9.8,23.26,,
F02150,89.56,8.1,14.29,,
F02158,78.57,42.5,33.34,,
F02164,88.16,23,23.31,,
F02170,93.56,9.5,16.95,,
F02180,86.01,23.1,27.51,,
F02185,88.72,14,30.5,,
F02188,84.52,25.4,31.15,,
F02195,89.21,9.4,20.75,,
F02198,91.27,20.9,21.82,,
F02220,95.25,7.9,20.16,,
F02230,88.49,5,21.79,,
F02240,91.09,15.2,13.72,,
F02261,95.58,10.4,19.49,,
F02275,88.28,13.1,20.19,,
F02282,94.39,23.8,5.15,,
F02290,87.99,27.6,36.76,,
F04001,81.45,44.4,38.41,,
F04003,88.67,20.7,29.09,,
F04005,90.99,17.3,32.07,,
F04007,87.26,26.2,27.76,,
F04009,85.28,16.3,24.41,,
F04011,85.16,9,21.7,,
F04012,80.45,26.3,41.7,,
F04013,88.39,16,24.84,,
F04015,86.41,25.5,30.83,,
F04017,83.84,31.5,35.49,,
F04019,89.03,20,29.69,,
F04021,87.06,14.6,23.17,,
F04023,77.86,25.5,25.69,,
F04025,91.84,15.2,21.69,,
F04027,74.56,20.5,30.06,,
