FIPS,Percent_High_school_completion,Percent_Children_in_poverty,Percent_Kids_in_Single_Parent_Houses,Reading _scores,Math_scores
01001,88.71,14.9,27.6,3.12696818,2.91727955
01003,90.47,12.4,18.36,3.192380762,3.037911538
01005,74.73,37.5,54.04,2.389161313,2.00862944
01007,80.88,21.9,36.7,2.688775131,2.56336673
01009,82.83,18.9,22.56,2.901714404,2.781496533
01011,74.94,38.7,58.85,2.110535605,1.96826778
01013,86.35,30.8,41.1,2.526134007,2.118341767
01015,85.07,16.7,30.98,2.945480411,2.786958409
01017,82.58,26.2,31.79,2.634106621,2.497681651
01019,82.82,23.3,20.44,2.784754319,2.646747671
01021,81.81,21,25.8,2.822341241,2.720820186
01023,82.69,28.9,43.92,2.549412685,2.128404244
01025,82.61,28.7,36.16,3.008578223,2.777250911
01027,81.26,23.8,25.19,2.783569439,2.529710142
01029,82.19,19.5,17.51,3.122187396,3.075677455
01031,85.65,20.6,30.09,3.020489127,2.87277299
01033,85.69,20.9,32.16,3.015519633,2.896152953
01035,84.95,35.1,50.92,2.267557265,2.333427736
01037,83.17,28.8,33.13,2.481397373,2.3088048
01039,85.34,22.6,27.07,2.934725219,2.668121746
01041,78.82,25.6,34.82,2.79990848,2.553168923
01043,82.26,17.4,18.79,3.119827164,2.99585269
01045,85.31,26.1,30.12,2.898242053,2.746068748
01047,83.95,42.3,63.99,2.482947088,2.2260336
01049,78.03,20.2,20.49,2.651262829,2.723096127
01051,87.26,16.6,23,3.04220366,2.95007406
01053,80.35,26.1,42.19,2.881991581,2.714771458
01055,85.33,22.9,34.13,3.010232137,2.782795678
01057,84.19,23.7,28.98,2.893179563,2.734799249
01059,78.68,22.9,32.64,2.567992701,2.52922847
01061,81.81,32,27.14,3.05403059,2.868606676
01063,80.93,43.5,69.99,2.467139733,2.569736548
01065,80.66,30,51.17,2.781441538,2.586428052
01067,80.47,23.5,23.64,2.815581462,2.734985739
01069,86.87,23.4,32.79,2.972277798,2.770071872
01071,83.46,23.4,25.2,3.058069377,2.727648275
01073,90.51,20.1,36.34,2.78853869,2.600071796
01075,82.96,21.3,27.79,3.088662981,3.050683052
01077,88.62,19.9,25.86,3.130774043,3.015394475
01079,80.78,21.9,23.72,2.863666439,2.740176195
01081,90.37,16.8,26.89,3.101688832,2.998968313
01083,85.27,14.3,18.38,2.879799087,2.756358833
01085,82.2,38.1,52.05,2.229613109,2.169597265
01087,83.57,39.3,52.88,2.294061132,1.973541421
01089,91.67,13.5,26.79,3.164968022,2.975704892
01091,85.44,30.2,49.94,2.745951239,2.577754846
01093,81.1,23.6,21.92,3.061671918,2.837091567
01095,83.32,24.6,26.79,2.754924662,2.762879144
01097,87.3,27.3,35.88,2.780952518,2.65310274
01099,83.47,29.9,44.27,2.512728103,2.54781772
01101,87.33,28.4,44,2.534611282,2.324077104
01103,84.05,20.1,24.07,2.884934089,2.747438759
01105,78.35,44.2,66.72,2.323915114,2.037406236
01107,82.85,31.2,44.44,2.855263083,2.630204061
01109,87.35,28.3,42.1,2.771098576,2.888447538
01111,81.92,27.3,27.81,2.760856056,2.621643607
01113,85.28,31.7,43,2.72111565,2.528422728
01115,85.76,14.6,18.32,3.045055498,2.886435354
01117,93.21,8.2,16.4,3.197249943,2.947296544
01119,85.27,42,55.63,2.164739669,1.813253853
01121,81.81,23.9,36.2,2.727234524,2.600405103
01123,81.22,26.3,41.57,2.543644388,2.330366845
01125,89.52,17.4,34.41,2.855172772,2.626843342
01127,81.66,23,29.22,2.937463464,2.721670777
01129,85.85,22.9,26.76,2.913192653,2.69839487
01131,79.28,29.4,63.61,1.976705646,1.933907096
01133,78.44,22.8,28.61,2.762504747,2.691368045
02013,86.62,13.2,27.6,,
02016,91.8,6,13.87,,
02020,93.99,9,19.72,,
02050,83.46,36.8,24.32,,
02060,93.76,11.8,16.08,,
02068,97.75,7.2,11.15,,
02070,86.53,26.5,34.53,,
02090,94.45,7.9,18.53,,
02100,97.96,18.4,5.12,,
02105,93.98,23.2,22.38,,
02110,96.24,11.9,16.22,,
02122,92.99,14.7,18.95,,
02130,93.88,9.8,23.26,,
02150,89.56,8.1,14.29,,
02158,78.57,42.5,33.34,,
02164,88.16,23,23.31,,
02170,93.56,9.5,16.95,,
02180,86.01,23.1,27.51,,
02185,88.72,14,30.5,,
02188,84.52,25.4,31.15,,
02195,89.21,9.4,20.75,,
02198,91.27,20.9,21.82,,
02220,95.25,7.9,20.16,,
02230,88.49,5,21.79,,
02240,91.09,15.2,13.72,,
02261,95.58,10.4,19.49,,
02275,88.28,13.1,20.19,,
02282,94.39,23.8,5.15,,
02290,87.99,27.6,36.76,,
04001,81.45,44.4,38.41,,
04003,88.67,20.7,29.09,,
04005,90.99,17.3,32.07,,
04007,87.26,26.2,27.76,,
04009,85.28,16.3,24.41,,
04011,85.16,9,21.7,,
04012,80.45,26.3,41.7,,
04013,88.39,16,24.84,,
04015,86.41,25.5,30.83,,
04017,83.84,31.5,35.49,,
04019,89.03,20,29.69,,
04021,87.06,14.6,23.17,,
04023,77.86,25.5,25.69,,
04025,91.84,15.2,21.69,,
04027,74.56,20.5,30.06,,
05001,86,21.8,28.76,2.667889392,2.629893823
05003,85.16,24.4,25.26,2.620365274,2.702188379
05005,88.78,24,20.03,3.103747989,2.926859434
05007,89.57,12.5,17.88,3.278587415,3.082781116
05009,88.24,19.8,17.41,3.318050589,3.168907078
05011,83.33,28.4,32.19,2.709291368,2.580347877
05013,83.97,22.3,24.95,2.494602107,2.881162149
05015,86.32,20.6,11.95,2.790651059,2.714756857
05017,78.19,36.7,42.23,2.30628668,2.197991917
05019,88.94,22,33.95,2.369694938,2.245922888
05021,83.54,24.3,29.53,2.77976488,2.625811278
05023,86.57,20.9,21.34,3.220500425,2.910996747
05025,89.54,19.3,27.63,2.798660979,2.545757754
05027,86.81,25.5,27.42,2.889977985,2.769316774
05029,86.58,22.9,26,2.892634864,2.718455924
05031,89.45,23.4,31.1,2.881911122,2.782214027
05033,84.51,20.4,25.66,2.807443153,2.698177314
05035,83.73,35,45.79,2.428972798,2.475546845
05037,81.41,33.3,37.82,2.913467472,2.905110914
05039,87.15,32.3,33.3,2.886707483,3.013848862
05041,80.1,34,43.97,2.503939476,2.343093377
05043,86.69,24.2,26.13,2.332681339,2.633128304
05045,92.06,13.3,21.05,3.212602802,2.996385853
05047,86.08,19.9,18.12,3.194551473,3.067251386
05049,84.43,27.7,18.29,3.440610623,3.362274369
